Email,Group
mak1@exemple.com,stu_1
mak2@exemple.com,stu_2
mak3@exemple.com,stu_3
mak4@exemple.com,stu_4
mak5@exemple.com,stu_5
mak6@exemple.com,stu_6
mak7@exemple.com,stu_7
mak8@exemple.com,stu_8
mak9@exemple.com,stu_9
mak10@exemple.com,stu_10
mak11@exemple.com,stu_11
mak12@exemple.com,stu_12
mak13@exemple.com,stu_13
mak14@exemple.com,stu_14
mak15@exemple.com,stu_15
mak16@exemple.com,stu_16
mak17@exemple.com,stu_17
mak18@exemple.com,stu_18
mak19@exemple.com,stu_19
mak20@exemple.com,stu_20
mak21@exemple.com,stu_21
mak22@exemple.com,stu_22
mak23@exemple.com,stu_23
mak24@exemple.com,stu_24
mak25@exemple.com,stu_25
mak26@exemple.com,stu_26
mak27@exemple.com,stu_27
mak28@exemple.com,stu_28
mak29@exemple.com,stu_29
mak30@exemple.com,stu_30
